ID,Name,Lat,Long
1,Holly Courts - Appleton Avenue (102),37.73840332,-122.4228668
2,Holly Courts - Appleton Avenue (198),37.73786926,-122.4215546
3,Holly Courts - Highland Avenue (129),37.73765207,-122.4229216
4,Holly Courts - Highland Avenue (199),37.73754329,-122.4213225
5,Holly Courts - Holly Park Circle (717),37.73770527,-122.4210735
6,Holly Courts - Holly Park Circle (727),37.73762889,-122.4212113
7,Holly Courts - Patton Street (1),37.73839786,-122.4228605
8,Holly Courts - Patton Street (85),37.73766209,-122.4230747
9,Alemany - Alemany Blvd (500),37.73278587,-122.4160092
10,Alemany - Alemany Blvd (570),37.73265047,-122.4178812
11,Alemany - Alemany Blvd (600),37.73252373,-122.4190747
12,Alemany - Alemany Blvd (610),37.73256615,-122.4192111
13,Alemany - Ellsworth Street (801),37.7337086,-122.4147558
14,Alemany - Ellsworth Street (999),37.73277241,-122.4187435
15,Alemany - Ellsworth Street (830),37.73357374,-122.4154457
16,Alemany - Ellsworth Street (992),37.73259387,-122.4192276
17,Potrero Terrace - Dakota Street (1),37.75469052,-122.396216
18,Potrero Terrace - Dakota Street (194),37.75279234,-122.3950886
19,Potrero Terrace - Connecticut Street (900),37.75396647,-122.397814
20,Potrero Terrace - Connecticut Street (1090),37.75269904,-122.3967914
21,Potrero Terrace - Connecticut Street (901),37.75392968,-122.3985857
22,Potrero Terrace - Connecticut Street (1079),37.75308758,-122.3963751
23,Potrero Terrace - Connecticut Street (1100),37.75203226,-122.3966956
24,Potrero Terrace - Connecticut Street (1148),37.75179661,-122.3964992
25,Potrero Terrace - 25th Street (1620),37.75282386,-122.3957102
26,Potrero Terrace - 25th Street (1720),37.75286039,-122.3960421
27,Potrero Terrace - 25th Street (1820),37.7524514,-122.397431
28,Potrero Terrace - 25th Street (1892),37.75282484,-122.3977406
29,Potrero Terrace - 25th Street (18-1),37.78966545,-122.4852427
30,Potrero Terrace - 25th Street (1915),37.75223187,-122.3978234
31,Potrero Terrace - 26th Street (1720),37.75179278,-122.397409
32,Potrero Terrace - 26th Street (1828),37.75189457,-122.3973447
33,Potrero Terrace - Wisconsin Street (1001),37.75495571,-122.398732
34,Potrero Terrace - Wisconsin Street (1029),37.75455157,-122.3980822
35,Potrero Terrace - Wisconsin Street (1255),37.75167874,-122.3978085
36,Potrero Terrace - Wisconsin Street (1275),37.75151679,-122.3983932
37,Sunnydale - Hahn Street (170 ),37.71248318,-122.4160498
38,Sunnydale - Hahn Street  (176),37.7124101,-122.415985
39,Sunnydale - Hahn Street  (220),37.71172279,-122.4163872
40,Sunnydale - Hahn Street  (242),37.71135551,-122.4166183
41,Sunnydale - Sunnydale Avenue  (1500),37.71248334,-122.4165136
42,Sunnydale - Sunnydale Avenue  (1971),37.7135859,-122.4220904
43,Sunnydale - Santos Street  (1),37.71237942,-122.4182385
44,Sunnydale - Santos Street  (129),37.71020673,-122.4189779
45,Sunnydale - Blythdale Avenue  (1),37.71062221,-122.4174455
46,Sunnydale - Blythdale Avenue  (283),37.71109188,-122.4220958
47,Sunnydale - Brookdale Avenue (1),37.71204973,-122.4191918
48,Sunnydale - Brookdale Avenue (182),37.71141774,-122.4224902
49,Velasco - Velasco Avenue (602),37.70998801,-122.4178094
50,Velasco - Velasco Avenue (642),37.71035013,-122.4180874
51,Westside Courts - Broderick Street (1501),37.78450074,-122.4415272
52,Westside Courts - Broderick Street (1565),37.78492754,-122.4416882
53,Westside Courts - Baker Street (1400),37.78449779,-122.4429392
54,Westside Courts - Baker Street (1464),37.78469735,-122.4429242
55,Westside Courts - Post Street (2410),37.78435426,-122.442135
56,Westside Courts - Post Street (2434),37.78436912,-122.4420116
57,Westside Courts - Post Street (2468),37.78435174,-122.4423195
58,Westside Courts - Post Street (2492),37.7843515,-122.4424848
59,Westside Courts - Sutter Street (2501),37.78502146,-122.4416821
60,Westside Courts - Sutter Street (2593),37.78494388,-122.442642
61,Westbrook - Kiska Road (90),37.73108039,-122.3788059
62,Westbrook - Northridge Road (1),37.73039004,-122.3742874
63,Westbrook - Northridge Road (143),37.73150659,-122.378311
64,Westbrook - Innes (847),37.72996921,-122.3722208
65,Westbrook - Innes (861),37.7313619,-122.3743165
66,Westbrook - Harbor Road (1),37.73175203,-122.3778282
67,Westbrook - Harbor Road (64),37.7325975,-122.3779892
68,Potrero Annex - Missouri (700),37.75591641,-122.3948845
69,Potrero Annex - Missouri (774),37.75669967,-122.3958695
70,Potrero Annex - Missouri (701),37.75753554,-122.395651
71,Potrero Annex - Missouri (717),37.75755123,-122.3957146
72,Potrero Annex - Missouri (751),37.75680233,-122.3956432
73,Potrero Annex - Missouri (815),37.75604039,-122.3955836
74,Potrero Annex - Missouri (851),37.75557338,-122.395687
75,Potrero Annex - Missouri (915),37.75481609,-122.3955424
76,Potrero Annex - Watchman Way (1),37.75607924,-122.3953111
77,Potrero Annex - Watchman Way (97),37.75454242,-122.3953401
78,Potrero Annex - Turner Terrace (1),37.75600699,-122.3952407
79,Potrero Annex - Turner Terrace (95),37.75623021,-122.3949354
80,Ping Yuen - Pacific Avenue (655),37.79698616,-122.4060998
81,Ping Yuen - Pacific Avenue (711),37.79681959,-122.4076928
82,Ping Yuen - Pacific Avenue (795),37.79693435,-122.407632
83,Ping Yuen - Pacific Avenue (895),37.79657807,-122.4095419
84,227 Bay - Bay Street (227),37.80576209,-122.4113496
85,Hunters Point A - Jerrold Avenue (707),37.72947019,-122.3729662
86,Hunters Point A - Jerrold Avenue (798),37.7298017,-122.3732866
87,Hunters Point A - Kiska Road (100),37.73098547,-122.3788467
88,Hunters Point A - Kiska Road (194),37.73011955,-122.3749786
89,Hunters Point A - Kirkwood Avenue (716),37.72898119,-122.3734389
90,Hunters Point A - Kirkwood Avenue (792),37.72998415,-122.374727
91,Hunters View - Westpoint Road (2),37.73610876,-122.381466
92,Hunters View - Westpoint Road (251),37.73551132,-122.3785921
93,Hunters View - Wills Street (11),37.73565289,-122.3785718
94,Hunters View - Wills Street (49),37.73563592,-122.3785718
95,Hunters View - Middlepoint Road (30),37.73622395,-122.3801699
96,Hunters View - Middlepoint Road (153),37.73562743,-122.3784752
97,Hunters View - Hare Street (57),37.73464558,-122.3783828
98,Hunters View - Hare Street (59),37.73557652,-122.3784538
99,Alice Griffith - Fitzgerald Avenue (1000),37.7191304,-122.3876728
100,Alice Griffith - Fitzgerald Avenue (1069),37.71980046,-122.3894068
101,Alice Griffith - Cameron Way (1),37.7202657,-122.3858377
102,Alice Griffith - Cameron Way (211),37.72013296,-122.3891063
103,Alice Griffith - Griffith Street (2400),37.71992717,-122.3859518
104,Alice Griffith - Griffith Street (2536),37.71912109,-122.3874076
105,Alice Griffith - Double Rock Street (1),37.72043754,-122.3874113
106,Alice Griffith - Double Rock Street (114),37.72086178,-122.3876776
107,Alice Griffith - Nichols Way (1),37.72057127,-122.3863438
108,Alice Griffith - Nichols Way (85),37.71995413,-122.3884398
